;NU_ANO;NU_MES;CO_IBGE;NO_ENTE;SG_UF;CO_COMP_MASSA;CO_TIPO_FUNDO;NU_CNPJ_ORGAO;NO_ORGAO;CO_PODER;CO_TIPO_PODER;CO_TIPO_POPULACAO;CO_TIPO_CARGO;CO_CRITERIO_ELEGIBILIDADE;ID_SERVIDOR_MATRICULA;ID_SERVIDOR_CPF;ID_SERVIDOR_PIS_PASEP;CO_SEXO_SERVIDOR;CO_EST_CIVIL_SERVIDOR;DT_NASC_SERVIDOR;CO_SITUACAO_FUNCIONAL;CO_TIPO_VINCULO;DT_ING_SERV_PUB;DT_ING_ENTE;DT_ING_CARREIRA;NO_CARREIRA;DT_ING_CARGO;NO_CARGO;VL_BASE_CALCULO;VL_REMUNERACAO;VL_CONTRIBUICAO;NU_TEMPO_RGPS;NU_TEMPO_RPPS_MUN;NU_TEMPO_RPPS_EST;NU_TEMPO_RPPS_FED;NU_DEPENDENTES;IN_ABONO_PERMANENCIA;IN_PREV_COMP;VL_TETO_ESPECIFICO
43;2021;12;2306504;Itapiúna;Ceará;1;1;11111111;Prefeitura;1;1;1;7;1;ativos_44;44;44;2;2;1989-12-09;1;1;2014-12-03;2014-12-03;2014-12-03;Demais Servidores;2014-12-03;Demais Servidores;2607.39;2607.39;365.0346;0;0;0;0;1;2;2;29000
44;2021;12;2306504;Itapiúna;Ceará;1;1;11111111;Prefeitura;1;1;1;7;1;ativos_45;45;45;1;2;1981-12-11;1;1;2006-12-05;2006-12-05;2006-12-05;Demais Servidores;2006-12-05;Demais Servidores;2693.06;2693.06;377.02840000000003;0;0;0;0;1;2;2;29000
45;2021;12;2306504;Itapiúna;Ceará;1;1;11111111;Prefeitura;1;1;1;7;1;ativos_46;46;46;2;2;1995-12-08;1;1;2020-12-01;2020-12-01;2020-12-01;Demais Servidores;2020-12-01;Demais Servidores;7894.15;7894.15;992.2108000000002;0;0;0;0;1;2;2;29000
46;2021;12;2306504;Itapiúna;Ceará;1;1;11111111;Prefeitura;1;1;1;7;1;ativos_47;47;47;1;2;1991-12-09;1;1;2016-12-02;2016-12-02;2016-12-02;Demais Servidores;2016-12-02;Demais Servidores;1045.0;1045.0;146.3;0;0;0;0;1;2;2;29000
47;2021;12;2306504;Itapiúna;Ceará;1;1;11111111;Prefeitura;1;1;1;7;1;ativos_48;48;48;1;2;1986-12-10;1;1;2011-12-04;2011-12-04;2011-12-04;Demais Servidores;2011-12-04;Demais Servidores;6216.71;6216.71;870.3394000000001;0;0;0;0;1;2;2;29000
48;2021;12;2306504;Itapiúna;Ceará;1;1;11111111;Prefeitura;1;1;1;2;3;ativos_49;49;49;1;2;1985-12-10;1;1;2010-12-04;2010-12-04;2010-12-04;Professor;2010-12-04;Professor;6795.39;6795.39;951.3546000000001;0;0;0;0;1;2;2;29000
49;2021;12;2306504;Itapiúna;Ceará;1;1;11111111;Prefeitura;1;1;1;7;1;ativos_50;50;50;2;2;1984-12-10;1;1;2009-12-04;2009-12-04;2009-12-04;Demais Servidores;2009-12-04;Demais Servidores;6181.87;6181.87;865.4618;0;0;0;0;1;2;2;29000
50;2021;12;2306504;Itapiúna;Ceará;1;1;11111111;Prefeitura;1;1;1;7;1;ativos_51;51;51;1;2;1994-12-08;1;1;2019-12-02;2019-12-02;2019-12-02;Demais Servidores;2019-12-02;Demais Servidores;10464.04;10464.04;992.2108000000002;0;0;0;0;1;2;2;29000
51;2021;12;2306504;Itapiúna;Ceará;1;1;11111111;Prefeitura;1;1;1;7;1;ativos_52;52;52;1;2;1993-12-08;1;1;2018-12-02;2018-12-02;2018-12-02;Demais Servidores;2018-12-02;Demais Servidores;5818.1;5818.1;814.5340000000001;0;0;0;0;1;2;2;29000
52;2021;12;2306504;Itapiúna;Ceará;1;1;11111111;Prefeitura;1;1;1;7;1;ativos_53;53;53;1;2;1994-12-08;1;1;2019-12-02;2019-12-02;2019-12-02;Demais Servidores;2019-12-02;Demais Servidores;8964.11;8964.11;992.2108000000002;0;0;0;0;1;2;2;29000
53;2021;12;2306504;Itapiúna;Ceará;1;1;11111111;Prefeitura;1;1;1;7;1;ativos_54;54;54;1;2;1988-12-09;1;1;2013-12-03;2013-12-03;2013-12-03;Demais Servidores;2013-12-03;Demais Servidores;9994.48;9994.48;992.2108000000002;0;0;0;0;1;2;2;29000
54;2021;12;2306504;Itapiúna;Ceará;1;1;11111111;Prefeitura;1;1;1;7;1;ativos_55;55;55;1;2;1994-12-08;1;1;2019-12-02;2019-12-02;2019-12-02;Demais Servidores;2019-12-02;Demais Servidores;5790.03;5790.03;810.6042;0;0;0;0;1;2;2;29000
55;2021;12;2306504;Itapiúna;Ceará;1;1;11111111;Prefeitura;1;1;1;2;3;ativos_56;56;56;1;2;1992-12-08;1;1;2017-12-02;2017-12-02;2017-12-02;Professor;2017-12-02;Professor;3514.1;3514.1;491.97400000000005;0;0;0;0;1;2;2;29000
56;2021;12;2306504;Itapiúna;Ceará;1;1;11111111;Prefeitura;1;1;1;7;1;ativos_57;57;57;2;2;1985-12-10;1;1;2010-12-04;2010-12-04;2010-12-04;Demais Servidores;2010-12-04;Demais Servidores;3651.47;3651.47;511.2058;0;0;0;0;1;2;2;29000
57;2021;12;2306504;Itapiúna;Ceará;1;1;11111111;Prefeitura;1;1;1;7;1;ativos_58;58;58;1;2;1988-12-09;1;1;2013-12-03;2013-12-03;2013-12-03;Demais Servidores;2013-12-03;Demais Servidores;6377.51;6377.51;892.8514000000001;0;0;0;0;1;2;2;29000
58;2021;12;2306504;Itapiúna;Ceará;1;1;11111111;Prefeitura;1;1;1;7;1;ativos_59;59;59;1;2;1999-12-07;1;1;2020-12-01;2020-12-01;2020-12-01;Demais Servidores;2020-12-01;Demais Servidores;2650.52;2650.52;371.07280000000003;0;0;0;0;1;2;2;29000
59;2021;12;2306504;Itapiúna;Ceará;1;1;11111111;Prefeitura;1;1;1;7;1;ativos_60;60;60;1;2;1992-12-08;1;1;2017-12-02;2017-12-02;2017-12-02;Demais Servidores;2017-12-02;Demais Servidores;1462.61;1462.61;204.7654;0;0;0;0;1;2;2;29000
60;2021;12;2306504;Itapiúna;Ceará;1;1;11111111;Prefeitura;1;1;1;2;3;ativos_61;61;61;1;2;1992-12-08;1;1;2017-12-02;2017-12-02;2017-12-02;Professor;2017-12-02;Professor;1045.0;1045.0;146.3;0;0;0;0;1;2;2;29000
61;2021;12;2306504;Itapiúna;Ceará;1;1;11111111;Prefeitura;1;1;1;2;3;ativos_62;62;62;1;2;1990-12-09;1;1;2015-12-03;2015-12-03;2015-12-03;Professor;2015-12-03;Professor;1045.0;1045.0;146.3;0;0;0;0;2;2;2;29000
62;2021;12;2306504;Itapiúna;Ceará;1;1;11111111;Prefeitura;1;1;1;7;1;ativos_63;63;63;1;2;1989-12-09;1;1;2014-12-03;2014-12-03;2014-12-03;Demais Servidores;2014-12-03;Demais Servidores;6356.05;6356.05;889.8470000000001;0;0;0;0;1;2;2;29000
63;2021;12;2306504;Itapiúna;Ceará;1;1;11111111;Prefeitura;1;1;1;7;1;ativos_64;64;64;2;2;1983-12-11;1;1;2008-12-04;2008-12-04;2008-12-04;Demais Servidores;2008-12-04;Demais Servidores;9121.7;9121.7;992.2108000000002;0;0;0;0;1;2;2;29000
64;2021;12;2306504;Itapiúna;Ceará;1;1;11111111;Prefeitura;1;1;1;7;1;ativos_65;65;65;1;2;1985-12-10;1;1;2010-12-04;2010-12-04;2010-12-04;Demais Servidores;2010-12-04;Demais Servidores;1837.73;1837.73;257.28220000000005;0;0;0;0;1;2;2;29000
65;2021;12;2306504;Itapiúna;Ceará;1;1;11111111;Prefeitura;1;1;1;7;1;ativos_66;66;66;1;2;2002-12-06;1;1;2020-12-01;2020-12-01;2020-12-01;Demais Servidores;2020-12-01;Demais Servidores;7506.81;7506.81;992.2108000000002;0;0;0;0;1;2;2;29000
66;2021;12;2306504;Itapiúna;Ceará;1;1;11111111;Prefeitura;1;1;1;7;1;ativos_67;67;67;2;2;1988-12-09;1;1;2013-12-03;2013-12-03;2013-12-03;Demais Servidores;2013-12-03;Demais Servidores;10201.23;10201.23;992.2108000000002;0;0;0;0;1;2;2;29000
67;2021;12;2306504;Itapiúna;Ceará;1;1;11111111;Prefeitura;1;1;1;7;1;ativos_68;68;68;1;2;1987-12-10;1;1;2012-12-03;2012-12-03;2012-12-03;Demais Servidores;2012-12-03;Demais Servidores;3587.22;3587.22;502.2108;0;0;0;0;1;2;2;29000
68;2021;12;2306504;Itapiúna;Ceará;1;1;11111111;Prefeitura;1;1;1;7;1;ativos_69;69;69;1;2;1990-12-09;1;1;2015-12-03;2015-12-03;2015-12-03;Demais Servidores;2015-12-03;Demais Servidores;7320.37;7320.37;992.2108000000002;0;0;0;0;1;2;2;29000
69;2021;12;2306504;Itapiúna;Ceará;1;1;11111111;Prefeitura;1;1;1;2;3;ativos_70;70;70;1;2;1995-12-08;1;1;2020-12-01;2020-12-01;2020-12-01;Professor;2020-12-01;Professor;3044.15;3044.15;426.18100000000004;0;0;0;0;1;2;2;29000
70;2021;12;2306504;Itapiúna;Ceará;1;1;11111111;Prefeitura;1;1;1;7;1;ativos_71;71;71;1;2;1990-12-09;1;1;2015-12-03;2015-12-03;2015-12-03;Demais Servidores;2015-12-03;Demais Servidores;8481.35;8481.35;992.2108000000002;0;0;0;0;1;2;2;29000
71;2021;12;2306504;Itapiúna;Ceará;1;1;11111111;Prefeitura;1;1;1;7;1;ativos_72;72;72;2;2;1984-12-10;1;1;2009-12-04;2009-12-04;2009-12-04;Demais Servidores;2009-12-04;Demais Servidores;1696.39;1696.39;237.49460000000005;0;0;0;0;1;2;2;29000
72;2021;12;2306504;Itapiúna;Ceará;1;1;11111111;Prefeitura;1;1;1;7;1;ativos_73;73;73;1;2;2000-12-06;1;1;2020-12-01;2020-12-01;2020-12-01;Demais Servidores;2020-12-01;Demais Servidores;3085.18;3085.18;431.9252;0;0;0;0;1;2;2;29000
73;2021;12;2306504;Itapiúna;Ceará;1;1;11111111;Prefeitura;1;1;1;7;1;ativos_74;74;74;1;2;1996-12-07;1;1;2020-12-01;2020-12-01;2020-12-01;Demais Servidores;2020-12-01;Demais Servidores;2192.76;2192.76;306.98640000000006;0;0;0;0;1;2;2;29000
74;2021;12;2306504;Itapiúna;Ceará;1;1;2222222;Câmara;2;1;1;7;1;ativos_75;75;75;1;2;1987-12-10;1;1;2012-12-03;2012-12-03;2012-12-03;Demais Servidores;2012-12-03;Demais Servidores;7187.17;7187.17;992.2108000000002;0;0;0;0;1;2;2;29000
75;2021;12;2306504;Itapiúna;Ceará;1;1;11111111;Prefeitura;1;1;1;7;1;ativos_76;76;76;1;2;1993-12-08;1;1;2018-12-02;2018-12-02;2018-12-02;Demais Servidores;2018-12-02;Demais Servidores;1045.0;1045.0;146.3;0;0;0;0;1;2;2;29000
76;2021;12;2306504;Itapiúna;Ceará;1;1;2222222;Câmara;2;1;1;7;1;ativos_77;77;77;2;2;1997-12-07;1;1;2020-12-01;2020-12-01;2020-12-01;Demais Servidores;2020-12-01;Demais Servidores;4802.9;4802.9;672.4060000000001;0;0;0;0;1;2;2;29000
77;2021;12;2306504;Itapiúna;Ceará;1;1;11111111;Prefeitura;1;1;1;2;3;ativos_78;78;78;2;2;1996-12-07;1;1;2020-12-01;2020-12-01;2020-12-01;Professor;2020-12-01;Professor;7573.37;7573.37;992.2108000000002;0;0;0;0;2;2;2;29000
78;2021;12;2306504;Itapiúna;Ceará;1;1;11111111;Prefeitura;1;1;1;7;1;ativos_79;79;79;2;2;1984-12-10;1;1;2009-12-04;2009-12-04;2009-12-04;Demais Servidores;2009-12-04;Demais Servidores;5278.81;5278.81;739.0334000000001;0;0;0;0;1;2;2;29000
79;2021;12;2306504;Itapiúna;Ceará;1;1;11111111;Prefeitura;1;1;1;7;1;ativos_80;80;80;2;2;1999-12-07;1;1;2020-12-01;2020-12-01;2020-12-01;Demais Servidores;2020-12-01;Demais Servidores;9169.63;9169.63;992.2108000000002;0;0;0;0;1;2;2;29000
80;2021;12;2306504;Itapiúna;Ceará;1;1;11111111;Prefeitura;1;1;1;2;3;ativos_81;81;81;1;2;1996-12-07;1;1;2020-12-01;2020-12-01;2020-12-01;Professor;2020-12-01;Professor;11335.32;11335.32;992.2108000000002;0;0;0;0;1;2;2;29000
81;2021;12;2306504;Itapiúna;Ceará;1;1;11111111;Prefeitura;1;1;1;7;1;ativos_82;82;82;1;2;1986-12-10;1;1;2011-12-04;2011-12-04;2011-12-04;Demais Servidores;2011-12-04;Demais Servidores;6740.59;6740.59;943.6826000000001;0;0;0;0;1;2;2;29000
82;2021;12;2306504;Itapiúna;Ceará;1;1;11111111;Prefeitura;1;1;1;7;1;ativos_83;83;83;2;2;1998-12-07;1;1;2020-12-01;2020-12-01;2020-12-01;Demais Servidores;2020-12-01;Demais Servidores;8573.04;8573.04;992.2108000000002;0;0;0;0;1;2;2;29000
83;2021;12;2306504;Itapiúna;Ceará;1;1;11111111;Prefeitura;1;1;1;7;1;ativos_84;84;84;1;2;1990-12-09;1;1;2015-12-03;2015-12-03;2015-12-03;Demais Servidores;2015-12-03;Demais Servidores;5278.42;5278.42;738.9788000000001;0;0;0;0;1;2;2;29000
84;2021;12;2306504;Itapiúna;Ceará;1;1;11111111;Prefeitura;1;1;1;2;3;ativos_85;85;85;1;2;1983-12-11;1;1;2008-12-04;2008-12-04;2008-12-04;Professor;2008-12-04;Professor;5519.92;5519.92;772.7888;0;0;0;0;2;2;2;29000
85;2021;12;2306504;Itapiúna;Ceará;1;1;11111111;Prefeitura;1;1;1;7;1;ativos_86;86;86;2;2;1991-12-09;1;1;2016-12-02;2016-12-02;2016-12-02;Demais Servidores;2016-12-02;Demais Servidores;4677.79;4677.79;654.8906000000001;0;0;0;0;1;2;2;29000
